rank,Youtuber,subscribers,video views,category,uploads,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,created_on
947,NickiMinajAtVEVO,12600000,8831179714,Music,99,United States,US,8800.0,140100.0,105100.0,1700000.0,88.2,328239523.0,14.7,270663028.0,2010-04-01
948,Ellie Goulding,12600000,6969178081,Music,218,United Kingdom,GB,9200.0,146700.0,110000.0,1800000.0,60.0,66834405.0,3.85,55908316.0,2007-01-29
949,colinfurze,12500000,1612094871,Entertainment,385,United Kingdom,GB,2100.0,33900.0,25400.0,407200.0,60.0,66834405.0,3.85,55908316.0,2006-11-15
950,People Vs Food,12500000,1136534702,Entertainment,601,United States,US,3800.0,61400.0,46000.0,736300.0,88.2,328239523.0,14.7,270663028.0,2013-07-30
952,Ja Mill,12500000,1302818088,People & Blogs,0,Philippines,PH,0.0,0.0,433486.4187704918,6928129.773770492,35.5,108116615.0,2.15,50975903.0,2006-02-22
953,Health Time,12500000,1002219689,Howto & Style,1810,India,IN,349.0,5600.0,149840.43243243243,66900.0,28.1,1366417754.0,5.36,471031528.0,2016-09-25
954,Yair17,12500000,1402042328,Gaming,1109,Mexico,MX,2200.0,35500.0,26600.0,425700.0,40.2,126014024.0,3.42,102626859.0,2014-01-22
955,Little Baby Bum en Espaï¿½ï,12500000,6956320454,Education,1459,Spain,ES,4100.0,65300.0,49000.0,783300.0,88.9,47076781.0,13.96,37927409.0,2014-06-06
956,First We Feast,12500000,2983799729,Howto & Style,1076,United States,US,27800.0,445000.0,333800.0,5300000.0,88.2,328239523.0,14.7,270663028.0,2014-02-28
957,Mï,12500000,3140883140,Travel & Events,766,Mexico,MX,7800.0,124000.0,93000.0,1500000.0,40.2,126014024.0,3.42,102626859.0,2015-07-06
959,Troom Troom PT,12500000,4384177908,Howto & Style,2738,Ukraine,UA,3400.0,54000.0,40500.0,648100.0,83.0,37709792.0,8.9,26569220.0,2015-04-19
960,Parafernalha,12500000,4625777945,Entertainment,1888,Brazil,BR,1800.0,28600.0,21500.0,343600.0,51.3,212559417.0,12.08,183241641.0,2011-05-13
961,NDTV,12500000,4935793409,Entertainment,151136,India,IN,14600.0,234100.0,175600.0,2800000.0,28.1,1366417754.0,5.36,471031528.0,2006-05-08
962,elcarteldesantatv,12500000,7489455451,Music,377,Mexico,MX,29000.0,463500.0,347600.0,5600000.0,40.2,126014024.0,3.42,102626859.0,2008-11-27
963,Family Fitness,12500000,10384848759,Entertainment,1699,India,IN,58900.0,942900.0,707100.0,11300000.0,28.1,1366417754.0,5.36,471031528.0,2017-01-18
964,Zee Tamil,12500000,11552190002,Entertainment,102699,India,IN,87500.0,1400000.0,1000000.0,16800000.0,28.1,1366417754.0,5.36,471031528.0,2008-08-26
965,Flowers Comedy,12500000,11691081301,Entertainment,11907,India,IN,45000.0,720100.0,540100.0,8600000.0,28.1,1366417754.0,5.36,471031528.0,2015-08-19
966,Mundo Bita,12500000,16690788752,Music,253,Brazil,BR,53400.0,854800.0,641100.0,10300000.0,51.3,212559417.0,12.08,183241641.0,2011-09-29
967,Wave Music Bhakti,12500000,5146004207,Music,19899,India,IN,2800.0,44300.0,33200.0,531800.0,28.1,1366417754.0,5.36,471031528.0,2011-04-19
968,Troom Troom Indonesia,12500000,5379684248,People & Blogs,8,Indonesia,ID,0.0,0.0,433486.4187704918,6928129.773770492,36.3,270203917.0,4.69,151509724.0,2020-07-29
969,CKM,12500000,4465772496,Comedy,117,India,IN,3300.0,52600.0,39400.0,630800.0,28.1,1366417754.0,5.36,471031528.0,2018-02-20
970,Quantum Tech HD,12500000,4340213066,Science & Technology,223,Pakistan,PK,2.0,35.0,151542.70588235295,2415471.705882353,9.0,216565318.0,4.45,79927762.0,2022-04-23
971,_vector_,12400000,7597013023,Comedy,398,United States,US,225900.0,3600000.0,2700000.0,43400000.0,88.2,328239523.0,14.7,270663028.0,2019-03-24
974,LOUD,12400000,2394143260,Gaming,690,United States,US,7.0,110.0,200995.47880434783,3224177.3629347826,88.2,328239523.0,14.7,270663028.0,2006-01-04
975,Gibby :),12400000,2862685032,People & Blogs,226,Mexico,MX,2600.0,41100.0,30800.0,493300.0,40.2,126014024.0,3.42,102626859.0,2014-08-30
976,Gustavo Parï,12400000,2602614088,Comedy,1115,Brazil,BR,0.0,0.0,500966.40579710144,8038623.188405797,51.3,212559417.0,12.08,183241641.0,2010-08-24
977,SAAIHALILINTAR,12400000,1113066203,Entertainment,409,Indonesia,ID,202.0,3200.0,470586.4440707965,38700.0,36.3,270203917.0,4.69,151509724.0,2012-04-28
978,Timba Vk,12400000,2840137980,Gaming,1024,Spain,ES,6000.0,96100.0,72100.0,1200000.0,88.9,47076781.0,13.96,37927409.0,2012-06-16
979,Heidi and Zidane HZHtube,12400000,4021409291,Entertainment,813,Canada,CA,2400.0,38400.0,28800.0,460600.0,68.9,36991981.0,5.56,30628482.0,2015-11-24
980,DaniRep ,12400000,6933660906,Gaming,12419,Spain,ES,20700.0,330600.0,247900.0,4000000.0,88.9,47076781.0,13.96,37927409.0,2012-10-29
981,Zee Kids,12400000,7683670251,Film & Animation,1212,India,IN,23800.0,380700.0,285500.0,4600000.0,28.1,1366417754.0,5.36,471031528.0,2012-07-06
982,Pari's Lifestyle,12400000,7741764747,People & Blogs,459,India,IN,9500.0,152700.0,114500.0,1800000.0,28.1,1366417754.0,5.36,471031528.0,2018-11-26
983,DisneyChannelUK,12400000,12607488647,Music,4422,United Kingdom,GB,8700.0,139000.0,104300.0,1700000.0,60.0,66834405.0,3.85,55908316.0,2007-12-06
984,MoniLina,12400000,16086808918,Comedy,1115,United States,US,0.0,0.0,500966.40579710144,8038623.188405797,88.2,328239523.0,14.7,270663028.0,2016-05-10
985,bharatzkitchen HINDI,12400000,2315226648,Howto & Style,729,India,IN,7700.0,123900.0,92900.0,1500000.0,28.1,1366417754.0,5.36,471031528.0,2016-08-10
986,TKOR,12400000,3392022527,Education,1340,United States,US,0.0,0.0,518046.6684444444,8302168.911111111,88.2,328239523.0,14.7,270663028.0,2006-08-16
987,ANNA KOVA,12400000,13959586308,People & Blogs,1,United States,US,0.0,0.01,433486.4187704918,6928129.773770492,88.2,328239523.0,14.7,270663028.0,2006-06-18
988,Avril Lavigne,12400000,6202090191,Music,205,United States,US,12500.0,200800.0,150600.0,2400000.0,88.2,328239523.0,14.7,270663028.0,2005-10-08
989,Caylus,12400000,4779139505,Education,1340,United States,US,44400.0,710400.0,532800.0,8500000.0,88.2,328239523.0,14.7,270663028.0,2016-04-06
990,Migos ATL,12400000,6993406259,Music,99,United States,US,12400.0,197600.0,148200.0,2400000.0,88.2,328239523.0,14.7,270663028.0,2012-01-17
991,Natan por Aï¿,12300000,9029609749,Sports,1200,Brazil,BR,138100.0,2200000.0,1700000.0,26500000.0,51.3,212559417.0,12.08,183241641.0,2017-02-12
992,Free Fire India Official,12300000,1674409945,People & Blogs,1500,India,IN,16200.0,258900.0,194200.0,3100000.0,28.1,1366417754.0,5.36,471031528.0,2018-09-14
994,RobTopGames,12300000,374123483,Gaming,39,Sweden,SE,968.0,15500.0,11600.0,185800.0,67.0,10285453.0,6.48,9021165.0,2012-05-09
995,Make Joke Of,12300000,2129773714,Comedy,62,India,IN,6000.0,96000.0,72000.0,1200000.0,28.1,1366417754.0,5.36,471031528.0,2017-08-01
